Metric,Notebook,engineering.py,Status,Gap
Features Raw Input,21 intermediate created,14+ produced,✅ Base OK,Small
Log Transforms,✅ 4 applied (Recency Monetary Price Delivery),❌ 0 applied,🔴 MISSING,CRITICAL
Bucketing,✅ 2 features (recency_score_10 installment_level),❌ 0 applied,🔴 MISSING,CRITICAL
Composite Features,✅ satisfaction_composite freight_ratio,❌ None,🔴 MISSING,Minor (visualization only)
Features for Clustering,✅ 7 selected active features,❌ 14+ raw features,🔴 MISSING,CRITICAL
Standardisation,✅ StandardScaler applied,❌ None,🔴 MISSING,CRITICAL
PCA,✅ 5 components whitened,❌ None,🔴 MISSING,CRITICAL
Clustering,✅ KMeans k=4-8,❌ Absent,🔴 MISSING,CRITICAL
Model Selection,✅ Silhouette score,❌ None,🔴 MISSING,Critical
Silhouette Metric,0.18 (notebook result),Unknown (probably poor without preprocessing),⚠️ Divergence,Unable to reproduce
Davies-Bouldin,0.89 (notebook result),Unknown,⚠️ Divergence,Unable to reproduce
Calinski-Harabasz,High values (notebook),Unknown,⚠️ Divergence,Unable to reproduce
K Optimal,4-8 range (depends on metrics),Unknown,❌ Unmeasurable,Unable to determine
Geographic Features,❌ Not in FEATURES_FINAL,✅ dist_sao_paulo calculated,Extra (OK for API),Not used for clustering
CLV Formula,Monetary * Frequency / (Recency+1),Monetary * Frequency / dataset_years,Different formulas,Minor
Review Score Handling,Simple average,Filters by latency (better practice),Engineering.py better,Not critical
Reproducibility,✅ With seed=42,Unknown,⚠️ Unknown,Cannot verify
Dataset Duration,Explicit calculation,Part of CLV formula,Different approaches,Minor
Customer Count Output,52636 clients,52636 clients,✅ Identical,None
Unique Features Applied,7 for clustering,0 for clustering,🔴 CRITICAL,BLOCKING
Production Ready,❌ Features only no clustering,❌ Features only no clustering,Both incomplete,BLOCKING
